"harmonized_type","type_number"
"108_Pvalb",1
"109_Pvalb",2
"110_Pvalb",3
"111_Pvalb",4
"119_Pvalb",5
"12_Lamp5",6
"129_L2/3 IT POST-PRE",7
"151_L2 IT ENTl",8
"164_L2/3 IT CTX",9
"176_IT HATA",10
"189_L4/5 IT CTX",11
"192_L4/5 IT CTX",12
"193_L4/5 IT CTX",13
"20_Pax6",14
"22_Sncg",15
"24_Sncg",16
"26_Ntng1 HPF",17
"285_L6 CT CTX",18
"30_Ntng1 HPF",19
"317_L6b CTX",20
"326_ProS",21
"350_Mossy",22
"367_Oligo",23
"377_Astro",24
"378_Astro",25
"386_Micro-PVM",26
"4_Meis2 HPF",27
"40_Vip",28
"44_Vip",29
"56_Vip HPF",30
"59_Vip Igfbp6",31
"6_Lamp5 Lhx6",32
"60_Vip Igfbp6",33
"64_Sst Chodl",34
"7_Lamp5 Lhx6",35
"75_Sst",36
"76_Sst",37
"82_Sst",38
"88_Sst",39
"91_Sst",40
"CA1/CA2_dorsal",41
"CA3_ventral",42
"Cluster_25_Subi",43
"Cluster_28_Subi",44
"Cluster_33_Caja",45
"Cluster_53_Pyra",46
"Cluster_54_Subi",47
"Cluster_56_Subi",48
"Cluster_64_Hipp",49
"Cortical_L2",50
"Cortical_L2/3",51
"DG",52
"DG/CA1/CA2/CA3_dorsal",53
"Lamp5/Vip_IN",54
"Lamp5_IN",55
"Microglia",56
"Oligodendrocyte",57
"Pvalb/Vip_IN",58
"Sncg/Vip_IN",59
"Sncg_IN",60
"Sst/Pvalb_IN",61
"Sst_IN",62
"Subiculum",63
"Vip_IN",64
