"cell_type","age_emm_log2fc","age_pct_change","age_lm_log2fc","age_stratum_log2fc","age_strata_old_higher","age_three_agree","region_emm_log2fc","region_pct_change","region_lm_log2fc","region_stratum_log2fc","region_strata_dorsal_higher","region_three_agree","age_pval","region_pval","age_region_pval","age_significant","region_significant"
"386_Micro-PVM",-0.690557341576022,-38.0406964362174,-0.813458184001512,-0.722078505990102,0,TRUE,-0.339964716062432,-20.9952419119238,-0.281212809529466,-0.32926917191066,0,TRUE,7.29602656383847e-10,0.000379095058402729,0.00301253353832958,TRUE,TRUE
"Sst_IN",-0.36597968089227,-22.4070498394188,-0.466043889111564,-0.342494062225372,0,TRUE,-0.56831067062164,-32.5610801417791,-0.511444480059201,-0.565462129713243,0,TRUE,3.66325223791324e-08,4.13575841566766e-15,0.260496020429505,TRUE,TRUE
"Pvalb/Vip_IN",-3.51560561671786,-91.3525243011458,NA,-7.26590367699069,0,NA,-2.67932269221081,-84.4831891465936,-1.36060728809381,-3.14814110059893,0,TRUE,0.00285127848733854,0.00870684082109422,0.0611495820037476,TRUE,TRUE
"Microglia",NA,-1029.15663524131,NA,5.94713766257741,3,NA,-0.63750194822994,-36.001155195571,0.675205329792473,-1.79189830371684,0,FALSE,0.00657119193106393,0.617574542377307,0.617574542377306,TRUE,FALSE
"Subiculum",-0.410747280603542,-24.7781706176387,-0.614718495201791,-0.515662808362334,0,TRUE,-1.13318541761944,-54.41200051542,-0.938812985177942,-1.1829206118362,0,TRUE,0.0154612440199882,2.57303835441551e-09,0.936393233362605,TRUE,TRUE
"Cluster_28_Subi",0.222198159002346,16.6512947478731,0.228682699507746,0.255080500763835,3,TRUE,-0.0909655311887182,-6.11069259785326,-0.0981960690753476,-0.0796892696082595,2,TRUE,0.0214253774580621,0.342334070323436,0.0822659568985935,TRUE,FALSE
"CA1/CA2_dorsal",0.977002820929667,96.8606467438807,0.406176029226426,0.557870034803481,2,TRUE,3.45983902186647,1001.29122240801,2.56205096592028,13.2027820123722,4,TRUE,0.148133840231734,0.000468887157557573,0.148133840231733,FALSE,TRUE
"DG/CA1/CA2/CA3_dorsal",0.014979644868988,1.04372107486474,0.0140194915114201,0.0133544599359574,3,TRUE,0.215026774047484,16.0725798323119,0.2174473879227,0.216285278082913,4,TRUE,0.284771331693673,6.50584290405565e-29,0.473658492177249,FALSE,TRUE
"Sncg_IN",0.116635787217318,8.42057434827614,0.127934556621547,0.113767119207422,3,TRUE,-0.273250747323677,-17.2550748418393,-0.282987198719955,-0.264543202177336,0,TRUE,0.304232124903876,0.0175248438956141,0.486274213463584,FALSE,TRUE
"DG",1.5614737619901,195.55503017872,7.61992958153568,3.88829328594244,3,TRUE,-3.87979231007896,-93.2584603701215,-8.43823058118851,-7.52712101911508,0,TRUE,0.356600774906195,0.106506874793214,0.358810866920911,FALSE,FALSE
"Cluster_25_Subi",-0.0402298483373709,-2.75002750654302,-0.052760781214585,-0.0363314054084674,2,TRUE,-0.735415299310666,-39.9358117213588,-0.716016452011712,-0.722475108746678,0,TRUE,0.548668521174332,9.31676937319563e-19,0.105284230901932,FALSE,TRUE
"Cluster_33_Caja",-0.0615270682540913,-4.17510763966369,-0.0658842927038119,-0.0644083088917103,0,TRUE,-0.216188979789832,-13.9164746591031,-0.209871244625787,-0.222145073152534,0,TRUE,0.809391744523548,0.397962871452424,0.967039471405184,FALSE,FALSE
"Oligodendrocyte",0.0040536181639958,0.28137237687395,0.00343153133901909,0.00394658537636574,2,TRUE,0.53898795319482,45.2956605747386,0.541635437504097,0.529966599258412,4,TRUE,0.927752463342843,4.9486657804614e-16,0.0126604764320028,FALSE,TRUE
"Cluster_53_Pyra",-0.00608536606240652,-0.420917943312779,-0.00611235417426895,-0.00926161001156078,1,TRUE,-0.00247638778986864,-0.171503237760224,-0.00247997892711573,-0.00476254925134155,2,TRUE,0.982577091691625,0.992909410590907,0.991585761259435,FALSE,FALSE
"Cluster_56_Subi",-2.60796777154935,-110.89343770377,NA,-0.736145601446958,1,NA,-2.82286852351081,-113.184022862953,-2.14392427939901,-1.02129075199112,0,TRUE,NA,NA,NA,NA,NA
