"gene","external_gene_name","display_name","mean_decrease_accuracy","mean_decrease_gini"
"ENSRNOG00000053712",NA,"ENSRNOG00000053712",3.03575697685946,0.126341936525257
"ENSRNOG00000015488","Tead1","Tead1",2.8140260355085,0.110304821830899
"ENSRNOG00000012693","Pmpcb","Pmpcb",2.27719051433705,0.085488118352495
"ENSRNOG00000008666","Etl4","Etl4",2.14085166603077,0.107170900835142
"ENSRNOG00000006116","Hk2","Hk2",2.11042337773382,0.0410761603779113
"ENSRNOG00000002860","Ccdc181","Ccdc181",2.07834153241441,0.0425571476760388
"ENSRNOG00000006898","Mrps16","Mrps16",2.04564758948283,0.0649843738631928
"ENSRNOG00000005729","Palm3","Palm3",1.99601816991875,0.0588783413848631
"ENSRNOG00000010141","Ttll1","Ttll1",1.99083003558318,0.0433491494272127
"ENSRNOG00000016288","Tcea2","Tcea2",1.95713929190543,0.0429412909027624
"ENSRNOG00000003767","Rps6kc1","Rps6kc1",1.9466568994301,0.0290915627112716
"ENSRNOG00000024549","Pwwp3a","Pwwp3a",1.93446543266656,0.0345822142672143
"ENSRNOG00000030126","Clk3","Clk3",1.92731952258799,0.03092208311182
"ENSRNOG00000006761","Sh3gl2","Sh3gl2",1.92729312618768,0.046009357849723
"ENSRNOG00000004904","Pa2g4","Pa2g4",1.90973557503857,0.0227811323763955
"ENSRNOG00000009936","Dido1","Dido1",1.90637804568568,0.0505488683690507
"ENSRNOG00000014479","Cttnbp2nl","Cttnbp2nl",1.90476534108682,0.0376000889632329
"ENSRNOG00000003220","H3f3a","H3f3a",1.89048575062799,0.0372900803744835
"ENSRNOG00000015514","Bcat1","Bcat1",1.87189115855077,0.0520945525311574
"ENSRNOG00000014840","Gna14","Gna14",1.86712617563913,0.0255266788766789
"ENSRNOG00000029986","Insr","Insr",1.83463591295798,0.0915758788295085
"ENSRNOG00000028021",NA,"ENSRNOG00000028021",1.83375440321461,0.01962
"ENSRNOG00000026517","Vrk3","Vrk3",1.83206813056049,0.0473917084115475
