"cell_type","n_datasets","age_pval","parity_pval","region_pval","age_parity_pval","age_region_pval","parity_region_pval","three_way_pval"
"386_Micro-PVM",1,7.29602656383847e-10,0.382148309374186,0.000379095058402729,0.342674268085054,0.00301253353832958,0.413330936838195,0.479947723234598
"CA1/CA2_dorsal",1,0.148133840231734,0.115152385451425,0.000468887157557573,0.172534745375397,0.148133840231733,0.115152385451425,0.172534745375396
"Cluster_25_Subi",2,0.548668521174332,0.883593288889237,9.31676937319563e-19,0.588538868318527,0.105284230901932,0.589835566130341,0.931809751604117
"Cluster_28_Subi",2,0.0214253774580621,0.86939085156343,0.342334070323436,0.521256273152975,0.0822659568985935,0.978151312458948,0.9716866082114
"Cluster_33_Caja",1,0.809391744523548,0.969307945915713,0.397962871452424,0.998495387528836,0.967039471405184,0.99733380098166,0.99750417132411
"Cluster_53_Pyra",1,0.982577091691625,0.999394102162937,0.992909410590907,0.999497896873375,0.991585761259435,0.999745655236279,0.999561156179223
"DG",1,0.356600774906195,0.509427787094013,0.106506874793214,0.59251925413005,0.358810866920911,0.5114154776167,0.591254223307377
"DG/CA1/CA2/CA3_dorsal",2,0.284771331693673,0.0791754541041705,6.50584290405565e-29,0.42151173230847,0.473658492177249,0.344078197367866,0.649888908319339
"Microglia",1,0.00657119193106393,0.0574721599799619,0.617574542377307,0.0574721599799618,0.617574542377306,0.630850226835702,0.630850226835702
"Oligodendrocyte",1,0.927752463342843,0.96430491222736,4.9486657804614e-16,0.295046253856404,0.0126604764320028,0.878139274987467,0.745628600585974
"Pvalb/Vip_IN",1,0.00285127848733854,0.806123471383827,0.00870684082109422,0.737622126050427,0.0611495820037476,0.255117641968821,0.284103373808509
"Sncg_IN",1,0.304232124903876,0.985511093314061,0.0175248438956141,0.955189626676552,0.486274213463584,0.944408885117791,0.920486889220437
"Sst_IN",2,3.66325223791324e-08,0.636806082560606,4.13575841566766e-15,0.556098880926474,0.260496020429505,0.921089879181052,0.95585779515572
"Subiculum",2,0.0154612440199882,0.662110760719694,2.57303835441551e-09,0.691993240738377,0.936393233362605,0.956154820443946,0.897425222527148
