"PC","Model","mean_contrib","n_drivers","model_p"
"PC1","Age",0.450997721004267,273,1.34130543786013e-13
"PC1","Region",0.251974224691532,53,0.493281060423845
"PC1","Parity",0.238556190523532,11,0.407436439003677
"PC1","Age x Region",0.487347757918714,208,7.63378349152671e-14
"PC1","Age x Parity",0.425171622362014,266,4.8548001854326e-12
"PC1","Region x Parity",0.269193462001398,48,0.767191379165259
"PC1","Three-way",0.46283400642509,190,1.58222006605822e-11
"PC2","Age",0.229592663408882,165,0.276537086467773
"PC2","Region",0.507059437109565,462,3.9641553771175e-38
"PC2","Parity",0.163263158161087,9,0.692579152045554
"PC2","Age x Region",0.44085142512074,244,2.16893218956016e-41
"PC2","Age x Parity",0.2170041647001,144,0.719904656886971
"PC2","Region x Parity",0.511428496843471,469,9.37557263917315e-36
"PC2","Three-way",0.433098941145353,233,2.15065094907691e-37
"PC3","Age",0.366813214734399,915,4.91508842491119e-06
"PC3","Region",0.236920183901104,122,0.400029350405708
"PC3","Parity",0.384854304040392,33,0.404934799996269
"PC3","Age x Region",0.324120939835472,800,4.12543748097461e-07
"PC3","Age x Parity",0.36496123945561,877,8.38390202331857e-05
"PC3","Region x Parity",0.239709725082383,100,0.68195860534893
"PC3","Three-way",0.317645715771291,747,2.42500212681769e-05
"PC4","Age",0.239767248033541,141,0.518620808141157
"PC4","Region",0.184889243503109,119,0.721925655494692
"PC4","Parity",0,0,0.962259004412499
"PC4","Age x Region",0.362387595510385,165,0.0996835799560872
"PC4","Age x Parity",0.218413763779211,130,0.881354755864152
"PC4","Region x Parity",0.167346497626488,74,0.729228360790553
"PC4","Three-way",0.361902988413708,154,0.298840787297991
"PC5","Age",0,0,0.892725044356862
"PC5","Region",0,0,0.925503665506366
"PC5","Parity",0.232045321253023,63,0.047508095512377
"PC5","Age x Region",0.245915739434316,77,0.736123901251282
"PC5","Age x Parity",0.223553004580956,46,0.263650205479917
"PC5","Region x Parity",0.196676997716014,49,0.2712866575076
"PC5","Three-way",0.207484585770734,76,0.614035244544991
"PC6","Age",0.181757120232759,72,0.689117842361875
"PC6","Region",0.255557701735682,212,0.488105375231732
"PC6","Parity",0.259515943852826,128,0.0256594982485671
"PC6","Age x Region",0.233311641484696,156,0.813746399748535
"PC6","Age x Parity",0.26967305681942,95,0.124691130269766
"PC6","Region x Parity",0.259877278795248,221,0.137759226524458
"PC6","Three-way",0.22787587605545,163,0.366032081823127
"PC7","Age",0,0,0.955181732558551
"PC7","Region",0.226114288466483,130,0.601144859544599
"PC7","Parity",0.290092987017321,105,0.134675691789292
"PC7","Age x Region",0.253051304779663,237,0.478894620204419
"PC7","Age x Parity",0.267652718377349,72,0.307925190275384
"PC7","Region x Parity",0.249796435577298,115,0.420679735729156
"PC7","Three-way",0.247703013364842,197,0.490884925588781
"PC8","Age",0.121316378555873,33,0.844807357889672
"PC8","Region",0,0,0.975213166365269
"PC8","Parity",0.619955199678244,168,0.0132898364230617
"PC8","Age x Region",0.163829074126548,21,0.964073852840649
"PC8","Age x Parity",0.42878510823127,123,0.0687812013093058
"PC8","Region x Parity",0.500232206803851,147,0.105733504909377
"PC8","Three-way",0.280079829342747,152,0.369933706656437
