"n_genes","mean_accuracy","sd_accuracy","se_accuracy","improvement"
20,0.893333333333333,0.0278886675511358,0.0124721912892465,NA
21,0.936666666666667,0.0320589734361189,0.0143372087784044,0.0433333333333333
22,0.943333333333333,0.00912870929175274,0.00408248290463862,0.00666666666666671
23,0.946666666666667,0.0217306746840088,0.00971825315807551,0.0033333333333333
24,0.92,0.00745355992499932,0.00333333333333334,-0.0266666666666667
25,0.936666666666667,0.0182574185835056,0.00816496580927727,0.0166666666666667
26,0.92,0.00745355992499932,0.00333333333333334,-0.0166666666666667
27,0.93,0.0139443337755679,0.00623609564462324,0.01
28,0.926666666666667,0.0091287092917528,0.00408248290463864,-0.0033333333333333
29,0.913333333333333,0.0320589734361189,0.0143372087784044,-0.0133333333333333
30,0.91,0.00912870929175274,0.00408248290463862,-0.0033333333333333
31,0.906666666666667,0.00912870929175274,0.00408248290463862,-0.00333333333333341
32,0.913333333333333,0.00745355992499927,0.00333333333333332,0.00666666666666671
33,0.926666666666667,0.0091287092917528,0.00408248290463864,0.0133333333333333
34,0.903333333333333,0.0139443337755679,0.00623609564462323,-0.0233333333333333
35,0.913333333333333,0.0139443337755679,0.00623609564462323,0.01
36,0.913333333333333,0.0217306746840088,0.00971825315807551,0
37,0.9,0.0204124145231931,0.00912870929175276,-0.0133333333333333
38,0.92,0.0217306746840088,0.00971825315807549,0.02
39,0.923333333333333,0.0091287092917528,0.00408248290463864,0.0033333333333333
40,0.916666666666667,0.0263523138347365,0.0117851130197758,-0.00666666666666671
